day,time_to_change_hours,Team,Service
2024-01-22 00:00:00.000000,1077,cic,rgo-promotion-plan--509f47ee
2024-01-22 00:00:00.000000,1077,cic,rgo-promotion-plan--509f47ee
2024-01-22 00:00:00.000000,1077,cic,rgo-promotion-plan--509f47ee
2023-12-11 00:00:00.000000,72,eureka,document-library--27f08bac
2023-12-11 00:00:00.000000,72,eureka,document-library--78820e1d
2024-01-22 00:00:00.000000,1077,cic,rgo-promotion-plan--509f47ee
2023-12-12 00:00:00.000000,81,cic,rgo-company-configuration--d551250c
2023-12-12 00:00:00.000000,81,cic,rgo-company-configuration--d551250c
2023-12-12 00:00:00.000000,94,itcm,claims-backend--c3cc11bd
2023-12-12 00:00:00.000000,96,itcm,claims-backend--afc52189
2024-01-22 00:00:00.000000,1080,cic,kpi-configuration--fb521504
2024-01-22 00:00:00.000000,1078,cic,rgo-promotion-plan--509f47ee
2023-12-12 00:00:00.000000,95,itcm,claims-backend--c3cc11bd
2023-12-12 00:00:00.000000,97,itcm,claims-backend--afc52189
2024-01-22 00:00:00.000000,1081,cic,rgo-datalake-tenant-lcm--db8a6e68
2023-12-08 00:00:00.000000,1,eureka,recommend-promotions--4fdf3d83
2023-12-08 00:00:00.000000,1,eureka,recommend-promotions--bacf43ea
2023-12-11 00:00:00.000000,74,eureka,document-library--27f08bac
2023-12-11 00:00:00.000000,74,eureka,document-library--78820e1d
2024-05-01 00:00:00.000000,3479,itcm,product-md-validation-ng--ced34846
2024-05-03 00:00:00.000000,3509,itcm,product-md-validation-ng--4eb6a63f
2024-01-03 00:00:00.000000,613,itcm,agreement-search--3f05ae50
2024-01-03 00:00:00.000000,613,itcm,agreement-search--a2a7dafd
2024-05-01 00:00:00.000000,3480,itcm,product-md-validation-ng--ced34846
2024-05-03 00:00:00.000000,3509,itcm,product-md-validation-ng--4eb6a63f
2024-01-22 00:00:00.000000,1080,cic,rgo-promotion-plan--509f47ee
2024-01-22 00:00:00.000000,1080,cic,rgo-promotion-plan--509f47ee
2024-01-22 00:00:00.000000,1083,cic,kpi-configuration--fb521504
2023-12-12 00:00:00.000000,84,cic,rgo-company-configuration--d551250c
2024-01-22 00:00:00.000000,1081,cic,rgo-promotion-plan--509f47ee
2023-12-12 00:00:00.000000,85,cic,rgo-company-configuration--d551250c
2024-01-22 00:00:00.000000,1081,cic,rgo-promotion-plan--509f47ee
2023-12-11 00:00:00.000000,76,eureka,document-library--27f08bac
2023-12-11 00:00:00.000000,76,eureka,document-library--78820e1d
2023-12-13 00:00:00.000000,109,itcm,approval--a52e00b0
2023-12-13 00:00:00.000000,109,itcm,approval--9059b09c
2023-12-13 00:00:00.000000,109,itcm,approval--a52e00b0
2023-12-13 00:00:00.000000,109,itcm,approval--9059b09c
